# command:
# git-check-rebase --meta rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.meta --rows-hide-level show_all --columns full rhel9:rh9-5.14.0-70.22.1.el9..rh9-5.14.0-70.22.1.vz9.17.12 rhel9.1:rh9-5.14.0-162.6.1.el9..rh9-5.14.0-162.6.1.vz9.18.1 > rebase_5.14.0-70.22.1.el9_5.14.0-162.6.1.el9.log
#

<tag>  rhel9         rhel9.1       SUBJECT
match  6de169348df2  f513f6b1bfec  fs/nfs: more leaks for busy inodes case.
match  e86b8e1f6c26  ba579f80d4a0  ve/perf: forbid perf events syscall in containers
match  a18fab6d61c0  de53bed1e37e  ipc: add export_operations to mqueue sb
match  2a46a8de5dd3  c747983da2b5  ipc: WARN if trying to remove ipc object which is absent
match  f011ced3b188  f08f4f25bfe3  VE/sysrq-trigger: make it VE-namespace aware
match  beea62456d93  7cfb959072b1  tmpfs: shmem_fallocate must return ERESTARTSYS
match  82346c565b3b  57e1fabbf9dc  kernel/sched/fair: Fix 'releasing a pinned lock'
match  5bd698c750a9  4b59d65ad097  ve/sched: Link VE root cpu cgroups in separate list
match  e4f9eae9607e  ec528332f031  sched: Make calc_global_load() return true when it's need to update ve statistic
match  1914a8591b8d  e303dd8563b5  ve/sched/loadavg: Calculate avenrun for Containers root cpu cgroups
match  77c1ea716d78  bf607973be22  ve/sysinfo/loadavg: Virtualize loadavg values in sysinfo()
match  96fb64a49420  925d2ab4e5f6  ve/proc/loadavg: Virtualize /proc/loadavg in Containers
ok     28a74c2af945  9b82115ab873  vzstat: Add kstat_glob.nr_unint_avg real accounting
match  120568dc2e97  2b5b0f6511f3  ve, x86_64: add per-ve vdso mapping.
match  853acc9eca09  caabfb5f11eb  ia32: add 32-bit vdso virtualization.
match  5d36b7ce7e46  175038db5015  ve: patch linux_version_code in vdso
match  c2be7fca898f  6e4714dc0462  ve/devmnt: Introduce ve::devmnt list #PSBM-108196
match  77c1eacad215  dac92e28b0e2  ve/fs/devmnt: process mount options
ok     36eb5e3e2b9e  ff716deacf0c  userns: associate user_struct with the user_namespace
match  52a4d5aeebdb  c5e0ff8d93e8  ve/mm: print OOM info to VE log
match  430b6e2e433c  4bd46206356b  tty: Avoid threads files iterations in __do_SAK()
match  44fa05ce51ce  9863b458bc57  tty: Use RCU read lock to iterate tasks and threads in __do_SAK()
match  aaba57703cbc  94b0c4f450b4  mnt: allow to add a mount into an existing group
match  eece223be2b6  58a7b14ee866  ve/fs/binfmt: move all internal data to structure
match  f2b31f0a2d1e  0b80f298670f  ve/fs/binfmt: virtualization
match  003218e19177  44aae7e848e1  ve/binfmt_misc: destroy all nodes on ve stop
match  95e956aa618b  05052689a66a  ve/kernfs: fix lookup for kernfs superblock
match  548c23966e60  d8be70398b50  kernfs/ve: ignore kernfs 've_perms_map' in cgroups.
match  ce915ea38605  7c75e21b69d0  overlayfs: add dynamic path resolving in mount options
match  92c3b532959d  2e669f3a21bd  overlayfs: add mnt_id paths options
match  b5f21e8e06e7  420d82a100f0  configs: add/enable options for overlayfs paths absolute resolution
match  8a81c9ba0baf  c59e2491d5d9  configs: Set overlayfs nfs_export option to true
match  702c8bc5b251  de15a6ee43a7  ve/fs/overlay: allow overlayfs to be used inside a Container
match  74ff94b5aea6  a7473d030992  overlayfs: relax capable check for trusted prefix xattrs
match  946cd2c35d02  0492d55944cd  ovl: make uuid=off compatible with overlayfs created without it
match  063e86fd593f  f274e3be1e59  ve/vfs: introduce "fs.odirect_enable" sysctl and disable it by default
match  3215e940476c  6e2cc60915f1  ve/fs: add per-VE limit of mount points
ok     c653f9eb934a  fde1267549af  trusted/block: Added trusted flag to struct genhd
ok     4204a10e3dc3  ccda3d2a8b56  trusted/ve/fs/exec: Don't allow a privileged user to execute untrusted files
match  c8b2e28758ee  c641ceda6bf6  trusted/ve/fs/exec: Send SIGSEGV to a process trying to execute untrusted files
match  559110e581a7  4a99a20f26c0  trusted/ve/exec: Allow trusted exec change both on boot and on running system
match  6e65d1010644  35b3fc1def05  trusted/ve/mmap: Protect from unsecure library load from CT image
match  985ca72ec063  967ffe557441  ve/time: remove our per-ve times in favor of mainstream time-namespaces
ok     2602bde7a34f  e18d54ba2853  ve/proc: Added separate start time field to task_struct to show in container
ok     90cc42d5d2f3  efa9853039cf  ve: Add interface for ve::clock_[monotonic|bootbased] adjustment
match  92828d446424  2954973377f8  ve/time: Use ve_relative_clock in times() syscall and /proc/[pid]/stat
