# command:
# git-check-rebase --meta rebase_4.18.0-240.1.1.el8_4.18.0-305.3.1.el8.meta --format=full rhel8.4:rh8-4.18.0-305.3.1.el8..9fdfd6a7c491 rhel8.2:rh8-4.18.0-240.1.1.el8..origin/branch-rh8-4.18.0-240.1.1.vz8.5.x-ovz-merged
#

<tag>  rhel8.4       rhel8.2       SUBJECT
match  17a7dc2d8aa0  a9182be5c11d  dm: Interpreter of ploop1 format (ploop driver)
ok     ba2446133be9  8f45e8a008fa  cbt: introduce changed block tracking
match  3ff3ea95899d  c4e4e46cc2e4  configs: add support for Block layer changed block tracking
match  5743052ba98b  656e7bc6a40b  ploop: Change cmds return values
match  7eaf78cb059d  221c6f693697  ploop: Increase push backup UUID length
match  3d7f71d1b134  878053a2fb27  ploop: Add argument into push_backup_stop
match  0cf0a00ff3af  ad1b2d2586fb  ploop: Sleepable push_backup_read
match  be181b018127  7246d471c457  ploop: Do not take ctl_mutex on noresume check
match  6ab025d8ab9f  911a343b3b13  ploop: Convert ctl_mutex into rwsem
match  325f3f85f9e8  4b9e15403e48  ploop: Fix off-by-one error
match  60576729f55c  397a5478f548  cbt: New interface to save current mask snapshot in cbt
match  cfd8b1dc44b1  f14bf475471b  cbt: Change errno values for new ioctl
match  b0c3cf778684  4b30b4238bfd  ploop: Refactor and rename ploop_setup_pb()
match  5133c0a80e05  ed3cb418f299  ploop: Add interface to get mask of partial backup from userspace
match  2fb70620011f  3244c219c8f1  cbt: Rename misc commands names
match  4b3b70f4e980  a563164b734f  cbt: Add size to CBT_SNAP_CREATE
match  63c21472c5f4  345d8f58f72a  cbt: Rename also blk_user_cbt_snp_create
drop                 473b985f11cb  ve/cgroup: Allow mounting cgroups in containers.
                                     (merged into" ve/cgroup: Add pseudosuper state for restore sake)
match  a160e029ea9c  4b3a63ef7ae3  ploop: Add comment about COW in snapshot merging
match  563d98e8fac5  48c149a08173  ploop: Add timeout argument in push backup
match  e72cff91ea55  8b2bf497356e  ploop: Extract dst_cluster occupation code
